archivo_origen,mes_carpeta,extension,tipo_error,detalle,requiere_revision_manual
Promociones\AGOSTO\9549_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133- ACTUALIZADO 21.08.24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9550_FINES DE SEMANA 15_ SILLAS Y ESCRITORIOS SELECCIONADOS- MUEBLES- SEPTIEMBRE 2024.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9551_Promociones PAPELERIA_Agosto complemento 2024_2.0.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9552_Compras y max - PROMOCION 2X1 STUK 9 L SEPT.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9553_Compras y max - STUK 2X1 VENTA NOC.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9554_Compras y max - SEÑALIZAR 2X1 EN PRODUCTOS SELECCIONADOS DE OFICINA.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9555_COMPRAS Y MAX HASTA 20_ Restirador.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9556_COMPRAS Y MAX HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9557_EXHIBICIÓN MUEBLES SEPTIEMBRE - 27.08.24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9558_COMPRAS Y MAX - CABECERAS KOBLENZ.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
"Promociones\AGOSTO\9559_Compras y max - PROCESO PARA ERECEDEROS CHECKOUT OPMX,.doc",AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9560_Compras y max - 50_ GLOBO MET GRADUADO 28 AGO 30 SEP.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9561_HASTA 30_ DE DESCUENTO EN MUEBLES- MECANICA.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9562_MECANICA LLEVATE 2 SILLAS POR 799.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9563_COMPRAS Y MAX - VENTA NOCTURNA AGOSTO 2024.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
