store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit cost,costo calculado,precio,costo * qty,utilidad,margen,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
T004,Contry                        ,13/10/2024,86542,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010101,50061998,OFFICEMAX,Marca Propia,1,25.78,29.9,ST,6.684,15.79,25.78,15.79,9.98,0.3873,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T039,Alamedas                      ,04/11/2024,4350,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,11496,"3M MEXICO,",9010101,50013763,POST-IT,Marca Externa,1,83.88,97.3,ST,85.26,77.06,119.83,77.06,6.81,0.0812,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T045,Chihuahua Mirador             ,26/08/2025,31819,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,13574,MOO-VINGO MEXICO,9010101,50118630,MOOVING,Marca Externa,2,60.34,70,ST,20.316,23.55,30.17,47.1,13.24,0.2194,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T085,PLAYA DEL CARMEN PERUGIA      ,19/02/2026,44391,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,10155,JANEL,9010101,50063614,OFFICEMAX,Marca Propia,1,124.14,144,ST,68.856,90.76,99.14,90.76,33.38,0.2689,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T051,Gomez Morin                   ,18/04/2024,75216,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,10155,JANEL,9010101,50063615,OFFICEMAX,Marca Propia,1,39.57,45.9,ST,21.636,28.88,39.57,28.88,10.69,0.2702,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T020,Mariano Otero                 ,25/02/2025,71461,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,10155,JANEL,9010101,50063615,OFFICEMAX,Marca Propia,1,39.57,45.9,ST,21.636,28.86,39.57,28.86,10.71,0.2707,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda                     ,09/10/2025,8497,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010103,50113327,STUK,Marca Propia,1,26.72,31,ST,8.232,16.86,25.78,16.86,9.86,0.3692,N,EcolÂ¾gico,Tienda Igual Retail,Activa
T007,Veracruz                      ,12/03/2024,83862,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,20533,OFFICE DEPOT ASIA HOLDING,9010103,50116754,STUK,Marca Propia,1,33.88,39.3,ST,20.088,25.31,33.88,25.31,8.57,0.253,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T087,GRAN SUR II                   ,02/01/2026,27595,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,10155,JANEL,9010102,50062911,OFFICEMAX,Marca Propia,1,51.64,59.9,ST,31.404,38.92,47.84,38.92,12.72,0.2464,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T054,Vallarta                      ,18/07/2024,91093,RETAIL,9,SUMINISTROS DE OFICINA,901,NOTAS ADHESIVAS Y BANDERITAS,90101,NOTAS ADHESIVAS,10155,JANEL,9010103,50072936,OFFICEMAX,Marca Propia,1,63.36,73.5,ST,63.924,57.57,90.52,57.57,5.79,0.0915,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
