store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit cost,costo calculado,precio,costo * qty,utilidad,margen,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
T064,San Jose del Cabo             ,04/08/2024,78093,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,13564,BIO PAPPEL SCRIBE,10200101,50024572,SCRIBE,Marca Externa,1,53.04,61.53,ST,47.796,46.17,75.78,46.17,6.86,0.1294,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T064,San Jose del Cabo             ,16/05/2024,23427,RETAIL,4,CARPETAS,405,ENMICADO Y ENGARGOLADO,40501,ENMICADO,12175,ACCO MEXICANA,4050101,50110186,ACCO,Marca Externa,1,1292.24,1499,ST,963.636,1047.63,1292.24,1047.63,244.61,0.1893,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T002,Interlomas                    ,14/03/2026,41906,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,10203,ACEGRAPAS FIFA,9050101,50033292,PILOT,Marca Externa,1,206.04,239,ST,153.792,167.1,206.04,167.1,38.94,0.189,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T045,Chihuahua Mirador             ,08/04/2024,52848,RETAIL,4,CARPETAS,401,CARPETAS,40104,CARPETAS EJECUTIVAS,10223,INDUSTRIAS DANPEX,4010401,50079353,DANPEX,Marca Externa,1,176.72,205,ST,132.264,143.18,176.72,143.18,33.55,0.1898,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T002,Interlomas                    ,20/04/2024,82493,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40801,CUBIERTAS CON BROCHE,10164,SAMSILL DE MEXICO,4080101,50101950,SAMSILL,Marca Externa,1,45.6,52.9,ST,34.86,37.32,48.71,37.32,8.28,0.1815,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda                     ,05/08/2024,19325,RETAIL,4,CARPETAS,403,PROTECTORES,40303,PROTECTORES VARIOS,20533,OFFICE DEPOT ASIA HOLDING,4030301,50116842,OFFICEMAX,Marca Propia,1,77.84,90.3,ST,38.22,51.67,111.21,51.67,26.17,0.3362,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T015,Tlalpan                       ,06/12/2024,48732,RETAIL,9,SUMINISTROS DE OFICINA,904,SUJETADOCUMENTOS,90404,ARGOLLAS Y POSTES,20533,OFFICE DEPOT ASIA HOLDING,9040401,50069639,OFFICEMAX,Marca Propia,1,39.22,45.5,ST,10.5,23.98,39.22,23.98,15.23,0.3884,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T048,Tlaquepaque                   ,15/11/2024,23669,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90902,CINTAS DE MONTAJE,11496,"3M MEXICO,",9090201,50113868,SCOTCH,Marca Externa,1,133.62,155,ST,97.92,107.44,137.07,107.44,26.18,0.1959,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T061,Mexicali                      ,02/04/2026,86764,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102002,BLOCKS ESQUELA,13564,BIO PAPPEL SCRIBE,10200201,50061463,,Marca Externa,2,92.41,99.8,ST,28.692,35.045,42.16,70.09,22.31,0.2415,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T079,Juriquilla Express            ,02/09/2024,86922,RETAIL,10,ARTICULOS ESCOLARES,1017,PLUMAS Y LAPICEROS FINOS,101701,BOLIGRAFOS FINOS,20533,OFFICE DEPOT ASIA HOLDING,10170101,50125316,OFFICEMAX,Marca Propia,1,68.9,79.92,ST,42.468,52.15,68.9,52.15,16.76,0.2432,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T062,Tecamac                       ,29/01/2026,64642,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90801,PERFORADORA DE 1 ORIFICIO,10797,GRUPO AZOR MEXICO,9080101,50014603,PEGASO,Marca Externa,1,43.02,49.9,ST,26.4,33.41,36.98,33.41,9.61,0.2234,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T041,Queretaro II                  ,03/10/2024,32260,RETAIL,9,SUMINISTROS DE OFICINA,904,SUJETADOCUMENTOS,90405,IMANES,28730,"PARKROSE GROUP, S.L.",9040501,50125460,STUK,Marca Propia,1,30.98,35.94,ST,13.788,21.23,30.98,21.23,9.74,0.3146,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T048,Tlaquepaque                   ,24/04/2025,53435,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30302,ETIQUETAS DE IMPRESION,11413,POCHTECA PAPEL,3030201,50076882,OFFICEMAX,Marca Propia,1,168.1,195,ST,122.16,135.56,188.79,135.56,32.54,0.1936,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz                        ,17/08/2025,67591,RETAIL,9,SUMINISTROS DE OFICINA,903,CINTAS ADHESIVAS,90302,CINTAS DOBLE CARA,10155,JANEL,9030201,50061361,JANEL,Marca Externa,1,76.72,89,ST,48,58.36,73.71,58.36,18.36,0.2393,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T070,Xalapa II                     ,23/02/2024,68730,RETAIL,4,CARPETAS,407,SEPARADORES,40701,SEPARADORES PLASTICOS,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,4070103,50011838,CARDINAL,Marca Externa,1,33.19,38.5,ST,20.412,25.07,33.19,25.07,8.11,0.2445,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda                     ,30/04/2026,19752,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90802,PERFORADORA DE 3 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,9080201,50065897,OFFICEMAX,Marca Propia,1,134.48,156,ST,92.388,97.22,128.45,97.22,37.25,0.277,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T043,Tijuana                       ,25/07/2025,19644,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50065888,OFFICEMAX,Marca Propia,1,17.59,19,ST,9.276,13,15.43,13,4.58,0.2607,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T076,Patria                        ,22/03/2026,59287,RETAIL,3,ARCHIVO Y ACCESORIOS,301,FOLDERS,30102,FOLDERS COLORES,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3010202,50061746,OFFICEMAX,Marca Propia,1,326.72,379,ST,215.412,253.12,300.86,253.12,73.61,0.2253,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T026,San Pedro                     ,24/08/2025,84354,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,20533,OFFICE DEPOT ASIA HOLDING,9050101,50113147,OFFICEMAX,Marca Propia,1,104.31,121,ST,35.976,69.39,99.14,69.39,34.92,0.3348,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T001,San Jeronimo                  ,13/06/2025,1407,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30304,ETIQUETAS ESPECIALES,11413,POCHTECA PAPEL,3030401,50049770,POCHTECA,Marca Externa,1,257.76,299,ST,207.54,215.35,257.76,215.35,42.41,0.1645,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T039,Alamedas                      ,16/12/2024,52729,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50065888,OFFICEMAX,Marca Propia,1,15.43,17.9,ST,9.276,12.34,15.43,12.34,3.09,0.2003,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T065,Merida II                     ,11/09/2025,97497,RETAIL,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,4030201,50066253,OFFICEMAX,Marca Propia,1,54.22,62.9,ST,21.888,37.33,54.22,37.33,16.89,0.3115,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T057,Reynosa                       ,30/08/2025,48393,RETAIL,4,CARPETAS,401,CARPETAS,40103,CARPETAS CON DISENO,11682,"CARVAJAL EDUCACION,",4010302,50048971,NORMA,Marca Externa,1,310.19,335,ST,191.004,243.91,252.59,243.91,66.28,0.2137,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T072,Avenida Vallarta              ,06/06/2024,69118,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90202,PEGAMENTO BLANCO,20533,OFFICE DEPOT ASIA HOLDING,9020201,50069991,OFFICEMAX,Marca Propia,1,28.71,33.3,ST,19.236,22.37,50,22.37,6.34,0.2208,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T080,Hermanos Serdan               ,12/11/2024,14637,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90904,TIRAS SUJETADORAS,10254,VELCRO DE MEXICO,9090401,50088334,VELCRO,Marca Externa,3,180.78,209.7,ST,49.044,50.56333333,60.26,151.69,29.08,0.1609,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T071,Central de Abastos            ,25/07/2024,6928,RETAIL,4,CARPETAS,404,REGISTRADORES,40401,REGISTRADORES VERDES,12232,KYMA CA,4040101,50063111,OFFICEMAX,Marca Propia,4,165.17,191.6,ST,32.76,34.29,43.02,137.16,28.01,0.1696,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T009,Coyoacan                      ,29/08/2025,51342,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50065888,OFFICEMAX,Marca Propia,1,16.38,19,ST,9.276,12.4,15.43,12.4,3.98,0.243,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T078,Cancun II                     ,08/04/2026,30294,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30303,REFUERZOS PARA CARPETA,10918,PRODUCTOS DIETRIX,3030301,50094195,OFFICEMAX,Marca Propia,2,72.24,83.8,ST,21.48,26.56,36.12,53.12,19.12,0.2647,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T086,Coatzacoalcos II              ,30/08/2025,45023,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30302,ETIQUETAS DE IMPRESION,10155,JANEL,3030202,50131513,JANEL,Marca Externa,1,102.59,119,ST,74.22,82.22,102.59,82.22,20.37,0.1986,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T018,Polanco II                    ,23/08/2025,60418,RETAIL,10,ARTICULOS ESCOLARES,1016,LONCHERAS,101603,HERMETICOS,12327,ZYLKU IMPORTACIONES,10160301,50116899,,Marca Externa,2,74.34,86.24,ST,32.4,32.085,46.47,64.17,10.17,0.1368,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T037,Morelia                       ,22/01/2024,93859,RETAIL,10,ARTICULOS ESCOLARES,1017,PLUMAS Y LAPICEROS FINOS,101702,PLUMAS FUENTE,11759,"PILOT PEN DE MEXICO,",10170201,50031706,PILOT,Marca Externa,1,71.12,82.5,ST,47.796,55.43,71.12,55.43,15.7,0.2207,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T062,Tecamac                       ,15/03/2026,68744,RETAIL,4,CARPETAS,401,CARPETAS,40102,ARILLO EN D,10164,SAMSILL DE MEXICO,4010201,50031206,SAMSILL,Marca Externa,1,159.48,185,ST,97.32,120.29,159.48,120.29,39.19,0.2457,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T040,Americas                      ,11/07/2025,38432,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102002,BLOCKS ESQUELA,13564,BIO PAPPEL SCRIBE,10200201,50061463,SCRIBE,Marca Externa,1,42.16,48.9,ST,28.692,33.09,42.16,33.09,9.07,0.2151,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T018,Polanco II                    ,21/05/2025,25813,RETAIL,9,SUMINISTROS DE OFICINA,903,CINTAS ADHESIVAS,90303,CINTAS INVISIBLES,11496,"3M MEXICO,",9030301,50113818,SCOTCH,Marca Externa,1,40.52,47,ST,25.644,31.91,40.52,31.91,8.61,0.2125,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T027,Miguel Angel                  ,04/09/2025,22068,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30601,TARJETAS INDICE BLANCAS,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060101,50011910,OXFORD,Marca Externa,1,21.47,24.9,ST,9.384,14.64,21.47,14.64,6.83,0.3179,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T074,Cuernavaca II                 ,05/08/2024,43265,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90202,PEGAMENTO BLANCO,10933,"HENKEL CAPITAL,",9020201,50051956,RESISTOL,Marca Externa,1,22.27,25.83,ST,23.28,20.84,31.81,20.84,1.44,0.0644,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T010,Cancun                        ,03/02/2026,25775,RETAIL,10,ARTICULOS ESCOLARES,1018,SACAPUNTAS,101802,SACAPUNTAS ELECTRICOS,20533,OFFICE DEPOT ASIA HOLDING,10180201,50125345,,Marca Externa,1,375,435,ST,287.592,307.33,375,307.33,67.67,0.1805,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T041,Queretaro II                  ,24/02/2026,96411,RETAIL,3,ARCHIVO Y ACCESORIOS,301,FOLDERS,30102,FOLDERS COLORES,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3010202,50093135,OFFICEMAX,Marca Propia,1,93.97,109,ST,43.476,65.1,85.34,65.1,28.87,0.3072,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T009,Coyoacan                      ,14/01/2025,17867,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90901,ARTICULOS DE MONTAJE,10254,VELCRO DE MEXICO,9090102,50015770,VELCRO,Marca Externa,1,36.12,41.9,ST,26.364,29.04,36.12,29.04,7.07,0.1959,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T056,Cuautla                       ,24/08/2025,59576,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50062046,OFFICEMAX,Marca Propia,1,56.9,66,ST,24.06,39.4,54.22,39.4,17.5,0.3076,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T044,Pachuca                       ,14/12/2025,36975,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90203,PEGAMENTOS DE CONTACTO,10764,INDUSTRIAS KOLA LOKA,9020301,50033918,KOLA LOKA,Marca Externa,1,30.09,34.9,ST,20.496,23.58,28.88,23.58,6.51,0.2162,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T018,Polanco II                    ,01/07/2024,65249,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90803,PERFORADORAS DE 2 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,9080301,50065898,OFFICEMAX,Marca Propia,1,68.54,79.5,ST,16.104,40.12,68.54,40.12,28.41,0.4146,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T038,Tabasco                       ,23/04/2024,8547,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,20533,OFFICE DEPOT ASIA HOLDING,10200101,50070185,OFFICEMAX,Marca Propia,1,145.69,169,ST,82.284,107.26,145.69,107.26,38.44,0.2638,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T017,Queretaro                     ,21/01/2024,25157,RETAIL,10,ARTICULOS ESCOLARES,1012,LIBRETAS EJECUTIVAS,101201,LIBRETAS FORMA FRANCESA,10223,INDUSTRIAS DANPEX,10120101,50060450,DANPEX,Marca Externa,1,231.9,269,ST,167.82,185.86,240.52,185.86,46.04,0.1985,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T001,San Jeronimo                  ,17/02/2026,33740,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90202,PEGAMENTO BLANCO,10933,"HENKEL CAPITAL,",9020201,50051957,RESISTOL,Marca Externa,1,51.64,59.9,ST,38.16,41.72,50.78,41.72,9.92,0.1921,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T048,Tlaquepaque                   ,30/08/2025,76949,RETAIL,10,ARTICULOS ESCOLARES,1018,SACAPUNTAS,101802,SACAPUNTAS ELECTRICOS,20533,OFFICE DEPOT ASIA HOLDING,10180201,50131038,,Marca Externa,1,142.24,165,ST,72.864,101.48,142.24,101.48,40.76,0.2866,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T033,Gonzalitos                    ,28/12/2024,56995,RETAIL,4,CARPETAS,402,PLANEADORES Y AGENDAS,40202,PLANEADORES,20610,APLI PAPER S.A.U.,4020202,50129175,MANUFACTUR,Marca Externa,1,349.14,405,ST,228.768,269.89,349.14,269.89,79.25,0.227,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T066,Jurica Queretaro              ,06/12/2024,31925,RETAIL,4,CARPETAS,402,PLANEADORES Y AGENDAS,40202,PLANEADORES,20610,APLI PAPER S.A.U.,4020202,50129174,MANUFACTUR,Marca Externa,1,349.14,405,ST,228.768,269.89,349.14,269.89,79.25,0.227,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T030,Donceles Express              ,08/01/2025,4429,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40801,CUBIERTAS CON BROCHE,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,4080101,50027545,OXFORD,Marca Externa,4,196.21,227.6,ST,38.568,40.595,49.05,162.38,33.82,0.1724,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T001,San Jeronimo                  ,01/06/2024,52471,RETAIL,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,4030201,50066253,OFFICEMAX,Marca Propia,1,51.64,59.9,ST,21.888,34.94,54.22,34.94,16.7,0.3234,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T016,Puebla                        ,18/09/2024,32644,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90902,CINTAS DE MONTAJE,11496,"3M MEXICO,",9090201,50037734,SCOTCH,Marca Externa,1,125,145,ST,83.16,97.15,128.45,97.15,27.85,0.2228,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T058,Mazatlan                      ,01/03/2024,14108,RETAIL,4,CARPETAS,409,PADFOLIOS Y TARJETEROS,40901,PADFOLIOS Y PORTABLOCKS,11578,GRUPO TZIAN,4090101,50087310,CONSUMER B,Marca Externa,1,352.59,409,ST,266.28,287.07,352.59,287.07,65.52,0.1858,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T069,SLP II                        ,13/03/2024,91078,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30303,REFUERZOS PARA CARPETA,10918,LOURDES ALEJANDRA ROSALES CANTO,3030301,50094199,OFFICEMAX,Marca Propia,1,34.4,39.9,ST,21.48,26.13,34.4,26.13,8.27,0.2404,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T050,Toluca Aeropuerto             ,14/11/2024,67037,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40801,CUBIERTAS CON BROCHE,20533,OFFICE DEPOT ASIA HOLDING,4080101,50063082,OFFICEMAX,Marca Propia,1,34.4,39.9,ST,11.364,21.54,36.12,21.54,12.86,0.374,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T075,Revolucion                    ,27/08/2025,22059,RETAIL,10,ARTICULOS ESCOLARES,1006,MOCHILAS,100602,MOCHILAS UNIVERSITARIAS,28730,"PARKROSE GROUP, S.L.",10060203,50131078,PARK ROSE,Marca Externa,1,283.62,329,ST,151.368,204.88,283.62,204.88,78.74,0.2776,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T020,Mariano Otero                 ,02/12/2025,6536,RETAIL,4,CARPETAS,404,REGISTRADORES,40402,REGISTRADORES DE COLOR,12232,KYMA CA,4040201,50083961,OFFICEMAX,Marca Propia,13,783.36,908.7,ST,38.04,45.97923077,51.64,597.73,185.63,0.237,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T049,Ixtapaluca                    ,09/06/2024,85971,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30302,ETIQUETAS DE IMPRESION,11413,POCHTECA PAPEL,3030201,50076882,OFFICEMAX,Marca Propia,1,176.72,205,ST,122.16,139.26,188.79,139.26,37.46,0.212,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T001,San Jeronimo                  ,10/10/2024,82989,RETAIL,10,ARTICULOS ESCOLARES,1016,LONCHERAS,101603,HERMETICOS,12327,ZYLKU IMPORTACIONES,10160301,50116899,,Marca Externa,1,46.47,53.9,ST,32.4,36.73,46.47,36.73,9.73,0.2095,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T064,San Jose del Cabo             ,05/01/2024,68458,RETAIL,10,ARTICULOS ESCOLARES,1003,MARCADORES,100303,MARCADORES DE CERA,11556,PELIKAN MEXICO,10030301,50119731,SIN MARCA,Marca Externa,1,228.45,265,ST,171.3,185.6,237.07,185.6,42.85,0.1876,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T069,SLP II                        ,21/01/2025,19457,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30303,REFUERZOS PARA CARPETA,10918,PRODUCTOS DIETRIX,3030301,50094195,OFFICEMAX,Marca Propia,1,36.12,41.9,ST,21.48,27.01,36.12,27.01,9.11,0.2522,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T074,Cuernavaca II                 ,27/11/2024,64923,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,10824,MAPED SILCO,9050101,50077264,MAPED,Marca Externa,1,128.45,149,ST,72.564,94.91,128.45,94.91,33.54,0.2612,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T063,Aguascalientes                ,12/01/2025,75474,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90801,PERFORADORA DE 1 ORIFICIO,20533,OFFICE DEPOT ASIA HOLDING,9080101,50062047,OFFICEMAX,Marca Propia,1,24.91,28.9,ST,14.22,18.95,24.91,18.95,5.95,0.2391,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T060,LA RIOJA.                     ,05/02/2024,41491,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90202,PEGAMENTO BLANCO,10933,"HENKEL CAPITAL,",9020201,50014476,RESISTOL,Marca Externa,1,145.69,169,ST,114.54,120.57,145.69,120.57,25.12,0.1724,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T005,San Agustin                   ,08/08/2024,74950,RETAIL,4,CARPETAS,401,CARPETAS,40103,CARPETAS CON DISENO,20610,APLI PAPER S.A.U.,4010302,50128236,APLI PAPER,Marca Externa,1,208.19,241.5,ST,201.936,187.5,297.41,187.5,20.69,0.0994,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T018,Polanco II                    ,19/08/2024,23513,RETAIL,10,ARTICULOS ESCOLARES,1011,FORROS,101102,FORRO PLASTICO,12360,DISTRIBUIDORA ABEST,10110201,50114345,,Marca Externa,2,83.62,97,ST,29.94,33.38,65.43,66.76,16.86,0.2016,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T025,Merida                        ,22/02/2026,73374,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50074162,OFFICEMAX,Marca Propia,1,25.78,29.9,ST,8.232,16.61,21.98,16.61,9.17,0.3557,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T021,Acapulco                      ,14/08/2024,4502,RETAIL,10,ARTICULOS ESCOLARES,1012,LIBRETAS EJECUTIVAS,101201,LIBRETAS FORMA FRANCESA,20533,OFFICE DEPOT ASIA HOLDING,10120101,50125284,OFFICEMAX,Marca Propia,2,85.38,99.04,ST,24.456,31.535,53.36,63.07,22.31,0.2613,T,EcolÂ¾gico,Tienda Igual Retail,Activa
T048,Tlaquepaque                   ,13/10/2025,85013,RETAIL,4,CARPETAS,401,CARPETAS,40102,ARILLO EN D,10164,SAMSILL DE MEXICO,4010201,50039431,SAMSILL,Marca Externa,3,592.24,687,ST,129.84,152.8333333,197.41,458.5,133.75,0.2258,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T046,Ensenada                      ,13/01/2024,96828,RETAIL,10,ARTICULOS ESCOLARES,1019,CRAYONES,101902,CRAYONES JUMBO,11171,BINNEY Y SMITH MEXICO,10190201,50015529,CRAYOLA,Marca Externa,1,100.93,109,ST,70.5,77.78,93.97,77.78,23.15,0.2293,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T011,Xalapa                        ,25/02/2024,55571,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90804,PERFORADORAS ESPECIALES,20533,OFFICE DEPOT ASIA HOLDING,9080401,50116771,STUK,Marca Propia,1,25.78,29.9,ST,12.396,18.06,25.78,18.06,7.72,0.2996,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T020,Mariano Otero                 ,12/03/2025,24092,RETAIL,4,CARPETAS,405,ENMICADO Y ENGARGOLADO,40501,ENMICADO,12160,QUANTUM GRAPHICS,4050102,50076356,OFFICEMAX,Marca Propia,1,154.31,179,ST,86.724,113.29,154.31,113.29,41.02,0.2658,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T022,Roma                          ,23/04/2025,26970,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90803,PERFORADORAS DE 2 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,9080301,50065898,OFFICEMAX,Marca Propia,1,68.54,79.5,ST,16.104,40.11,68.54,40.11,28.42,0.4147,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T064,San Jose del Cabo             ,17/09/2024,52801,RETAIL,10,ARTICULOS ESCOLARES,1016,LONCHERAS,101601,LONCHERAS,11682,"CARVAJAL EDUCACION,",10160102,50127724,KIUT,Marca Externa,1,375,435,ST,291.6,309,375,309,66,0.176,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T039,Alamedas                      ,01/05/2025,25670,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90902,CINTAS DE MONTAJE,11496,"3M MEXICO,",9090201,50077358,SCOTCH,Marca Externa,1,76.72,89,ST,55.2,61.36,72.84,61.36,15.36,0.2002,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T058,Mazatlan                      ,03/01/2025,74641,RETAIL,10,ARTICULOS ESCOLARES,1010,LAPICES,101002,LAPICES CHECADORES,20407,PIANO EXPORTS FZCO,10100201,50062170,OFFICEMAX,Marca Propia,1,16.81,19.5,ST,7.356,12.01,16.81,12.01,4.8,0.2855,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
