prod_nbr,prod_nm,dept_cd,apparent_unit_cost
50121994,PAQ DATOS TELCEL $100.00,22,169.659
50121995,PAQ DATOS TELCEL $150.00,22,254.499
50121996,PAQ DATOS TELCEL $200.00,22,339.339
50121997,PAQ DATOS TELCEL $300.00,22,508.998
50121998,PAQ DATOS TELCEL $500.00,22,848.337
50129012,COMISION SERVICIO AVON,23,0.021
50130677,TARJETA SPOTIFY 129,23,255.738
50130678,TARJETA SPOTIFY 365,23,723.576
50130679,TARETA SPOTIFY 695,23,1377.768
50130702,RIXTY STEAM 630MXN,23,1271.403
50130789,INFINIT PENCIL HB COL SURTIDO,61,270.669
50131389,STARBUCKS 200MNX,23,393.54
50131390,APP STORE GIFT CARD 200MXN,23,394.8
50131391,APP STORE GIFT CARD 500MXN,23,987
50131392,APP STORE GIFT CARD 1000MXN,23,1974
50131465,ROBLOX 600MXN,23,1189.44
50132069,STEREN ALARMA HUMO CON ZUMBADOR,61,328.839
50132070,STEREN LAMPARA LED EMERGENCIA,61,631.806
50055846,ESCRITORIO EN L SKYLINE CEREZO,1,5420.173441
50057557,CAJA FUERTE SENTRY X125,1,5822.361097
50061277,SILLA EJECUTIVA CALIGARI NEGRO,1,2795.590184
50061639,ARCHIVERO 4 GAVETAS OFICIO NG,1,10100.63765
50061641,ARCHIVERO 2 GAVETAS OFICIO NG,1,5622.204
50062287,ESCRITORIO EN L CASSEL GRIS,1,2981.279
50062288,ESCRITORIO ESTUDIANTIL STUM G,1,1334.220825
50062289,ESCRITORIO ESTUD CLARE MAPLE,1,2823.510021
50062292,SILLA EJECUTIVA CASPER NEGRO,1,2877.473792
50062293,SILLA EJECUTIVA MODELLO NEGRO,1,3892.219197
50062297,SILLA EJECUTIVA OLMO NEGRO,1,3812.973435
50062298,SILLA PLEGABLE OLEG GRIS,1,791.1338305
50062996,SILLA RESTIRADOR CONNOR NEGRO,1,2499.284681
50062999,ARCHIVERO 4 GAVETAS CARTA NEG,1,5195.337
50063074,ARCHIVERO 3 GAVETAS CARTA MAPL,1,2260.61272
50063127,SILLA BASICA DE OFIC MICHIG NG,1,2188.666735
50063133,ESCRITORIO DE TRABAJO LIRIO MP,1,2288.502
50065098,SILLA APILABLE LANIS NEGRO,1,2239.223868
50066236,ESCRITORIO DE TRABAJO CARDWELL,1,4387.716362
50066238,SILLA EJECUTIVA BACELO NEGRO,1,3850.301354
50066245,SILLA EJECUTIVA SILVES CAFE,1,3610.034485
50066246,SILLA BASICA DE OFIC MODELL NG,1,3288.602027
50066248,SILLA BASICA DE OFIC BELFOR NG,1,2973.074491
50069763,ESCRITORIO EN L EVANS MAPLE,1,4930.790563
50069765,ESCRITORIO DE TRABAJO MINTON B,1,3593.184
50071523,CAJA FUERTE ELECTRONICA X041E,1,3595.570407
50072713,SILLA DE VISITA MODELLO NEGRO,1,3400.308579
50072721,ESCRITORIO EN L MIRAV BLANCO,1,7149.314326
50073069,ARCHIVERO 4 GAVETAS CARTA NG,1,7656.621
50076060,ARCHIVERO 3 GAVETAS CARTA NG,1,4106.309637
50084784,SILLA EJECUTIVA LUBEC NEGRO,1,2839.507543
50085877,SILLA BASICA DE OFIC ANDORA NG,1,2110.1745
50085878,SILLA BASICA ERGONOMICA MATE NG,1,2473.295701
