store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit_cost,costo_calculado,precio,costo_x_qty,utilidad,margen,estatus,ecologicos,clasificacion_retail,estatus_operativo,-10%,-5%,5%,10%,-10%_dup,-5%_dup,5%_dup,10%_dup,unnamed:_39,precio_real,beta_utilizada,tipo_ventana_beta,sensibilidad_precio,en_analisis,precio_nuevo_menos_10pct,unidades_sim_menos_10pct,ingresos_sim_menos_10pct,precio_nuevo_menos_5pct,unidades_sim_menos_5pct,ingresos_sim_menos_5pct,precio_nuevo_mas_5pct,unidades_sim_mas_5pct,ingresos_sim_mas_5pct,precio_nuevo_mas_10pct,unidades_sim_mas_10pct,ingresos_sim_mas_10pct,ingresos_reales
T028,San Luis Potosi               ,2025-09-19,97992,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40801,CUBIERTAS CON BROCHE,20533,OFFICE DEPOT ASIA HOLDING,4080101,50063082,OFFICEMAX,Marca Propia,2,72.24,83.8,ST,11.364,22.795,36.12,45.59,26.65,0.3689,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,32.508,34.314,37.926,39.732,1.8,1.9,2.1,2.2,,36.12,,No_analizado,No_en_analisis,False,32.51,2.0,65.02,34.31,2.0,68.62,37.93,2.0,75.86,39.73,2.0,79.46,72.24
T053,La Paz                        ,2025-01-28,37367,RETAIL,10,ARTICULOS ESCOLARES,1019,CRAYONES,101901,CRAYONES,11171,BINNEY Y SMITH MEXICO,10190101,50061330,CRAYOLA,Marca Externa,1,49.57,57.5,ST,37.164,40.26,49.57,40.26,9.31,0.1878,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,44.613,47.0915,52.0485,54.527,0.9,0.95,1.05,1.1,,49.57,,No_analizado,No_en_analisis,False,44.61,1.0,44.61,47.09,1.0,47.09,52.05,1.0,52.05,54.53,1.0,54.53,49.57
T002,Interlomas                    ,2024-11-13,17221,RETAIL,4,CARPETAS,401,CARPETAS,40102,ARILLO EN D,12175,ACCO MEXICANA,4010201,50110190,ACCO,Marca Externa,1,109.66,127.2,ST,97.656,95.52,137.07,95.52,14.14,0.1289,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,123.363,130.2165,143.9235,150.777,0.9,0.95,1.05,1.1,,109.66,,No_analizado,No_en_analisis,False,98.69,1.0,98.69,104.18,1.0,104.18,115.14,1.0,115.14,120.63,1.0,120.63,109.66
T040,Americas                      ,2024-08-10,45746,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30304,ETIQUETAS ESPECIALES,11413,POCHTECA PAPEL,3030401,50049770,POCHTECA,Marca Externa,1,257.76,299.0,ST,207.54,212.43,257.76,212.43,45.33,0.1759,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,231.984,244.872,270.648,283.536,0.9,0.95,1.05,1.1,,257.76,,No_analizado,No_en_analisis,False,231.98,1.0,231.98,244.87,1.0,244.87,270.65,1.0,270.65,283.54,1.0,283.54,257.76
T042,Irapuato                      ,2025-09-19,12714,RETAIL,4,CARPETAS,408,CUBIERTAS PARA REPORTES,40803,CUBIERTAS PLASTIFICADAS,20533,OFFICE DEPOT ASIA HOLDING,4080301,50062258,OFFICEMAX,Marca Propia,1,86.12,99.9,ST,38.352,57.47,86.12,57.47,28.65,0.3326,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,77.508,81.814,90.426,94.732,0.9,0.95,1.05,1.1,,86.12,,No_analizado,No_en_analisis,False,77.51,1.0,77.51,81.81,1.0,81.81,90.43,1.0,90.43,94.73,1.0,94.73,86.12
T046,Ensenada                      ,2024-05-22,16140,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50074162,OFFICEMAX,Marca Propia,1,23.61,25.5,ST,8.232,15.23,21.98,15.23,8.38,0.3547,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,19.782,20.881,23.079,24.178,0.9,0.95,1.05,1.1,,23.61,,No_analizado,No_en_analisis,False,21.25,1.0,21.25,22.43,1.0,22.43,24.79,1.0,24.79,25.97,1.0,25.97,23.61
T061,Mexicali                      ,2026-03-03,82829,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90801,PERFORADORA DE 1 ORIFICIO,20533,OFFICE DEPOT ASIA HOLDING,9080101,50062047,OFFICEMAX,Marca Propia,1,32.32,34.9,ST,14.22,21.6,24.91,21.6,10.72,0.3317,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,22.419,23.6645,26.1555,27.401,0.9,0.95,1.05,1.1,,32.32,,No_analizado,No_en_analisis,False,29.09,1.0,29.09,30.7,1.0,30.7,33.94,1.0,33.94,35.55,1.0,35.55,32.32
T057,Reynosa                       ,2024-03-10,82322,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50074162,,Marca Externa,1,23.61,25.5,ST,8.232,15.32,21.98,15.32,8.29,0.3509,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,19.782,20.881,23.079,24.178,0.9,0.95,1.05,1.1,,23.61,,No_analizado,No_en_analisis,False,21.25,1.0,21.25,22.43,1.0,22.43,24.79,1.0,24.79,25.97,1.0,25.97,23.61
T050,Toluca Aeropuerto             ,2024-09-07,14651,RETAIL,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,4030201,50061981,OFFICEMAX,Marca Propia,1,77.5,89.9,ST,30.42,51.24,81.47,51.24,26.26,0.3388,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,73.323,77.3965,85.5435,89.617,0.9,0.95,1.05,1.1,,77.5,,No_analizado,No_en_analisis,False,69.75,1.0,69.75,73.62,1.0,73.62,81.38,1.0,81.38,85.25,1.0,85.25,77.5
T061,Mexicali                      ,2024-04-05,58673,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90505,ENGRAPADORAS USO RUDO,20533,OFFICE DEPOT ASIA HOLDING,9050501,50065894,OFFICEMAX,Marca Propia,1,199.08,215.0,ST,81.816,126.87,185.34,126.87,72.22,0.3627,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,166.806,176.073,194.607,203.874,0.9,0.95,1.05,1.1,,199.08,,No_analizado,No_en_analisis,False,179.17,1.0,179.17,189.13,1.0,189.13,209.03,1.0,209.03,218.99,1.0,218.99,199.08
