SKU,n_observaciones,r2,beta_precio,estatus
50129631,4,,,n insuficiente
50129632,2,,,n insuficiente
50129633,1,,,n insuficiente
50129634,2,,,n insuficiente
50129635,5,,,n insuficiente
50129636,1,,,n insuficiente
50129637,4,,,n insuficiente
50129638,2,,,n insuficiente
50129640,2,,,n insuficiente
50129641,3,,,n insuficiente
50129642,1,,,n insuficiente
50129643,3,,,n insuficiente
50129658,3,,,n insuficiente
50129775,1,,,n insuficiente
50129776,1,,,n insuficiente
50129777,2,,,n insuficiente
50129779,1,,,n insuficiente
50129780,1,,,n insuficiente
50129782,1,,,n insuficiente
50129783,1,,,n insuficiente
50129786,1,,,n insuficiente
50129792,1,,,n insuficiente
50129794,1,,,n insuficiente
50129905,1,,,n insuficiente
50130707,4,,,n insuficiente
50130708,1,,,n insuficiente
50130709,2,,,n insuficiente
50130710,1,,,n insuficiente
50130711,3,,,n insuficiente
50130712,1,,,n insuficiente
50130713,2,,,n insuficiente
50130714,2,,,n insuficiente
50130736,1,,,n insuficiente
50130737,1,,,n insuficiente
50130757,2,,,n insuficiente
50130782,1,,,n insuficiente
50131058,22,,,precio constante
50131101,17,,,precio constante
50131128,15,,,precio constante
50131168,12,,,precio constante
50131226,1,,,n insuficiente
50131645,6,,,n insuficiente
50131646,2,,,n insuficiente
50131659,2,,,n insuficiente
50131756,1,,,n insuficiente
50131757,1,,,n insuficiente
50132140,3,,,n insuficiente
50132141,2,,,n insuficiente
50132142,1,,,n insuficiente
50132143,2,,,n insuficiente
50133003,1,,,n insuficiente
50133005,2,,,n insuficiente
50133006,4,,,n insuficiente
50133007,1,,,n insuficiente
50133149,1,,,n insuficiente
50133152,3,,,n insuficiente
50133334,18,,,precio constante
50133335,12,,,precio constante
50133336,11,,,n insuficiente
50133337,13,,,precio constante
50133338,6,,,n insuficiente
50133339,12,,,precio constante
50133340,7,,,n insuficiente
50133341,7,,,n insuficiente
50133342,3,,,n insuficiente
50133343,10,,,n insuficiente
50134098,3,,,n insuficiente
50134137,2,,,n insuficiente
50134139,3,,,n insuficiente
50134140,2,,,n insuficiente
50134141,6,,,n insuficiente
50134439,1,,,n insuficiente
50134441,1,,,n insuficiente
50134442,2,,,n insuficiente
50134443,1,,,n insuficiente
50134447,1,,,n insuficiente
50134450,2,,,n insuficiente
50134451,1,,,n insuficiente
50134452,1,,,n insuficiente
50134454,3,,,n insuficiente
50134455,2,,,n insuficiente
50134457,2,,,n insuficiente
50134458,1,,,n insuficiente
50134462,4,,,n insuficiente
50134463,6,,,n insuficiente
50134464,8,,,n insuficiente
50134465,18,,,precio constante
50134466,1,,,n insuficiente
50134467,6,,,n insuficiente
50134468,3,,,n insuficiente
50134469,13,,,precio constante
50134470,2,,,n insuficiente
50134471,6,,,n insuficiente
50134472,4,,,n insuficiente
50134473,15,,,precio constante
50134474,12,,,precio constante
50134475,6,,,n insuficiente
50134476,3,,,n insuficiente
50134477,4,,,n insuficiente
50134478,4,,,n insuficiente
50134479,5,,,n insuficiente
50134480,4,,,n insuficiente
50134481,9,,,n insuficiente
50134482,4,,,n insuficiente
50134484,1,,,n insuficiente
50134485,4,,,n insuficiente
50134486,4,,,n insuficiente
50134487,4,,,n insuficiente
50134488,3,,,n insuficiente
50134489,1,,,n insuficiente
50134490,3,,,n insuficiente
50134491,3,,,n insuficiente
50134492,3,,,n insuficiente
50134617,9,,,n insuficiente
50135114,1,,,n insuficiente
50135118,1,,,n insuficiente
50135119,1,,,n insuficiente
50135120,1,,,n insuficiente
50135123,2,,,n insuficiente
50135125,1,,,n insuficiente
50135126,3,,,n insuficiente
50135129,1,,,n insuficiente
50135131,1,,,n insuficiente
50135133,1,,,n insuficiente
50135134,1,,,n insuficiente
50135140,1,,,n insuficiente
50135141,1,,,n insuficiente
50135143,2,,,n insuficiente
50135144,1,,,n insuficiente
50135152,1,,,n insuficiente
50135156,1,,,n insuficiente
50135160,1,,,n insuficiente
50135161,1,,,n insuficiente
50135167,1,,,n insuficiente
50135169,1,,,n insuficiente
50135171,2,,,n insuficiente
50135172,1,,,n insuficiente
50135181,1,,,n insuficiente
50135182,2,,,n insuficiente
50135189,2,,,n insuficiente
50135190,2,,,n insuficiente
50135192,2,,,n insuficiente
50135197,1,,,n insuficiente
50135198,1,,,n insuficiente
50135200,1,,,n insuficiente
50135204,1,,,n insuficiente
50135206,1,,,n insuficiente
50135210,1,,,n insuficiente
50135215,1,,,n insuficiente
50135216,4,,,n insuficiente
50135225,1,,,n insuficiente
50135228,3,,,n insuficiente
50135229,1,,,n insuficiente
50135231,1,,,n insuficiente
50135289,2,,,n insuficiente
50135291,1,,,n insuficiente
50135292,1,,,n insuficiente
50135295,1,,,n insuficiente
50135297,1,,,n insuficiente
50135298,1,,,n insuficiente
50135371,3,,,n insuficiente
50135372,2,,,n insuficiente
50135373,4,,,n insuficiente
50135388,1,,,n insuficiente
50135389,1,,,n insuficiente
50135392,1,,,n insuficiente
50135393,1,,,n insuficiente
50135429,1,,,n insuficiente
50135431,1,,,n insuficiente
50135448,1,,,n insuficiente
50135450,2,,,n insuficiente
50135453,3,,,n insuficiente
50135456,1,,,n insuficiente
50135457,1,,,n insuficiente
50135458,1,,,n insuficiente
50135459,2,,,n insuficiente
50135460,3,,,n insuficiente
50135522,2,,,n insuficiente
50135523,6,,,n insuficiente
50135524,2,,,n insuficiente
50135525,6,,,n insuficiente
50135526,6,,,n insuficiente
50135527,9,,,n insuficiente
50135528,6,,,n insuficiente
50135529,2,,,n insuficiente
50135530,3,,,n insuficiente
