variable,coeficiente,abs_coeficiente
subdept_nm_MOCHILAS,-0.021595279442972976,0.021595279442972976
subdept_nm_ETIQUETAS,-0.021397803755660194,0.021397803755660194
subdept_nm_LONCHERAS,-0.02137859556154363,0.02137859556154363
store_nbr_T013,-0.02034521543453974,0.02034521543453974
store_nbr_T073,0.01977964507868513,0.01977964507868513
store_nbr_T069,0.019426128888131087,0.019426128888131087
store_nbr_T075,0.01941119075528044,0.01941119075528044
store_nbr_T010,0.01869166107955152,0.01869166107955152
store_nbr_T062,0.018460137302976274,0.018460137302976274
store_nbr_T026,-0.018165893567951674,0.018165893567951674
store_nbr_T055,0.018146968384480176,0.018146968384480176
subdept_nm_LAPICES,-0.017878667865417218,0.017878667865417218
store_nbr_T081,0.0171110226233148,0.0171110226233148
subdept_nm_ENGRAPADORAS,0.016282300506091713,0.016282300506091713
store_nbr_T021,0.01564189906002817,0.01564189906002817
tipo_marca_Marca Propia,0.014477541433316976,0.014477541433316976
store_nbr_T071,-0.014186716197145328,0.014186716197145328
store_nbr_T087,-0.01277301226606113,0.01277301226606113
store_nbr_T022,0.012443126488773304,0.012443126488773304
store_nbr_T004,0.01241786451384023,0.01241786451384023
store_nbr_T012,0.012118482989794167,0.012118482989794167
store_nbr_T008,-0.01204387284746447,0.01204387284746447
store_nbr_T072,0.011402981466506822,0.011402981466506822
subdept_nm_SEPARADORES,-0.011001949335671203,0.011001949335671203
store_nbr_T019,-0.010687885079797895,0.010687885079797895
store_nbr_T005,0.010143852660062281,0.010143852660062281
store_nbr_T061,-0.009962913922140139,0.009962913922140139
store_nbr_T079,0.00994805190020123,0.00994805190020123
ln_precio,0.009677846945423693,0.009677846945423693
store_nbr_T078,0.009245849667774893,0.009245849667774893
store_nbr_T057,-0.008938007800646686,0.008938007800646686
subdept_nm_CARPETAS,0.008848013071243721,0.008848013071243721
store_nbr_T042,0.008793248391507705,0.008793248391507705
subdept_nm_ARTICULOS DE MONTAJE,0.008771876746469696,0.008771876746469696
subdept_nm_NOTAS ADHESIVAS Y BANDERITAS,0.008260799458229329,0.008260799458229329
store_nbr_T044,-0.007995477229269715,0.007995477229269715
store_nbr_T077,0.007548318417462063,0.007548318417462063
subdept_nm_FOLDERS COLGANTES,-0.007431472895890884,0.007431472895890884
subdept_nm_CINTAS ADHESIVAS,-0.006221524646466303,0.006221524646466303
store_nbr_T045,0.005654193920775017,0.005654193920775017
store_nbr_T035,-0.005588510782230222,0.005588510782230222
store_nbr_T009,0.005432526917151195,0.005432526917151195
store_nbr_T063,0.005206857029834349,0.005206857029834349
store_nbr_T048,0.004709162769111864,0.004709162769111864
store_nbr_T053,0.004252742226774575,0.004252742226774575
store_nbr_T016,0.00409694891641986,0.00409694891641986
subdept_nm_PEGAMENTOS Y ADHESIVOS,0.00382211345504746,0.00382211345504746
subdept_nm_SUJETADOCUMENTOS,0.0036598029975107027,0.0036598029975107027
store_nbr_T052,-0.0034881598549110692,0.0034881598549110692
store_nbr_T038,0.003459507765130697,0.003459507765130697
store_nbr_T049,0.0031707536159005234,0.0031707536159005234
store_nbr_T015,-0.002291411403815946,0.002291411403815946
store_nbr_T054,0.002017108668730158,0.002017108668730158
store_nbr_T060,0.0017785447535483279,0.0017785447535483279
store_nbr_T027,0.0017694453207064663,0.0017694453207064663
store_nbr_T014,0.0015536150734554348,0.0015536150734554348
mes_num,-0.0010340127836225652,0.0010340127836225652
store_nbr_T066,0.0009986595406394055,0.0009986595406394055
anio,-0.00014988327945313074,0.00014988327945313074
store_nbr_T011,-9.496546323180255e-05,9.496546323180255e-05
store_nbr_T058,3.5339958146807238e-06,3.5339958146807238e-06
